acousticness,added_at,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,name,popularity,preview_url,speechiness,tempo,time_signature,track_img,valence
0.147,12/12/16,StÃ©Louse,0.832,240667,0.864,0.0109,9,0.273,-4.612,Been So Long,52,https://p.scdn.co/mp3-preview/871af892859f910bb031ac5cf86b1f852465545a?cid=930456c642564135939390fde3dd06bf,0.039,116.989,4,https://i.scdn.co/image/c805361928c06a6ff2dad3e5bc66a4d70ab255fa,0.735
0.228,12/12/16,Mazde,0.686,232414,0.634,0.0667,0,0.134,-6.856,Wicked Winds,45,https://p.scdn.co/mp3-preview/661eb915b18389e50c4f45543759f12efa2cc17b?cid=930456c642564135939390fde3dd06bf,0.0369,98.001,4,https://i.scdn.co/image/c72c3d126d8776671afb91582c01d98891ac95a3,0.243
0.316,12/12/16,The Maneken,0.845,213705,0.689,0.00131,11,0.104,-6.442,You & I,35,https://p.scdn.co/mp3-preview/6333e69cdbe86373c115fb2dfcf0be8cd9113393?cid=930456c642564135939390fde3dd06bf,0.0959,108.99,4,https://i.scdn.co/image/408e2f23e1d83cc349cecc76be598cf10b03fc12,0.494
0.917,12/12/16,Vitamin String Quartet,0.0695,162151,0.0286,0.139,7,0.0766,-19.674,Motion Picture Soundtrack,56,https://p.scdn.co/mp3-preview/712c7851f30c247eb4c0c40a21524d0f7bdee40a?cid=930456c642564135939390fde3dd06bf,0.045,78.534,3,https://i.scdn.co/image/77e55f5445616020f6fe7209e025754afd885778,0.0331
0.11,12/12/16,MÃ¸me,0.8,222573,0.725,0.118,7,0.634,-7.558,Super Hot Days,39,https://p.scdn.co/mp3-preview/0bf63395134633bfdadf50058b4dbf853e1add66?cid=930456c642564135939390fde3dd06bf,0.327,111.002,4,https://i.scdn.co/image/fa58953946dbe1da0c6258bd8f2bba0b7cd399d8,0.284
0.0384,12/11/16,KOOL A.D,0.324,260179,0.816,0.101,4,0.14,-5.151,Prove It,33,https://p.scdn.co/mp3-preview/b6cf0a84d2cb6f14b7b4cb8490b4799ad6cce5b8?cid=930456c642564135939390fde3dd06bf,0.402,124.212,1,https://i.scdn.co/image/e4557e901cb6257b1c6c1504979b5671f9efaf09,0.46
0.00554,12/11/16,Class Actress,0.488,198310,0.625,0.000983,2,0.165,-7.808,Let Me Take You Out,36,https://p.scdn.co/mp3-preview/b845317e4029a99d54940aad4c9c79f445963c27?cid=930456c642564135939390fde3dd06bf,0.0276,150.474,4,https://i.scdn.co/image/2879c7824a5a71918b1287706c60c513dabfbb7b,0.458
0.205,12/9/16,MÃ¸me,0.552,289760,0.634,0.00234,10,0.0876,-5.658,Alive (MÃ¸me Vs Midnight To Monaco),55,https://p.scdn.co/mp3-preview/55ce6c81ff7d8879a1a420714d65e9f710371428?cid=930456c642564135939390fde3dd06bf,0.109,110.549,4,https://i.scdn.co/image/fa58953946dbe1da0c6258bd8f2bba0b7cd399d8,0.603
0.0151,12/9/16,Major Lazer,0.642,198729,0.961,0.000623,7,0.265,-1.435,My Number,64,https://p.scdn.co/mp3-preview/569da4131ed2d3572d7956a09e7ac03225b4c282?cid=930456c642564135939390fde3dd06bf,0.222,155.001,4,https://i.scdn.co/image/547f86e6efceb12adedeac8a05dfc133de7b1773,0.699
0.0524,12/9/16,Gramatik,0.817,259200,0.823,0,10,0.124,-2.898,Satoshi Nakamoto - Psymbionic Remix,41,https://p.scdn.co/mp3-preview/2f1635be3fbfc2d261dd80b5590197520826acdf?cid=930456c642564135939390fde3dd06bf,0.0524,100,4,https://i.scdn.co/image/0e695e645a7a14d461401783a79018ee9c943de3,0.746
